question_id,response_time,skipped_count,correctness_rate
1,32.483570765056164,0,0.8459475988463466
2,29.308678494144075,4,0.8259806297513003
3,33.23844269050346,0,0.61213465473028
4,37.61514928204013,2,0.8560896106737679
5,28.829233126383322,1,0.6186245437484
6,28.8293152152541,3,0.6626998490796339
7,37.896064077536955,2,0.8732457025590121
8,33.837173645764544,0,0.8248164495236073
9,27.65262807032524,3,0.924611705247089
10,32.712800217929825,0,0.8288064461501716
11,27.682911535937688,0,0.7841543016677358
12,27.671351232148716,1,0.5468373839140462
13,31.20981135783017,3,0.6838579015297168
14,20.43359877671101,3,0.6326011838408627
15,21.375410837434835,1,0.6219948216895418
16,27.188562353795135,2,0.9865052773762228
17,24.93584439832788,0,0.6965488623333802
18,31.571236662976368,4,0.9460232775885566
19,25.459879622393945,0,0.8155693129986314
20,22.938481493323543,0,0.8974056517708242
21,37.32824384460777,2,0.751318546552596
22,28.871118497567323,0,0.7884519423131795
23,30.33764102343962,1,0.746258846909432
24,22.87625906893272,1,0.5976214938990223
25,27.278086377374088,3,0.8612260576307527
26,30.55461294854933,4,0.6403861812204279
27,24.245032112888488,0,0.5121579832157269
28,31.87849009172836,0,0.822736147953584
29,26.996806550405974,2,0.5885553397035245
30,28.541531251033618,1,0.9702292921764571
31,26.991466938853016,4,0.9769642885012937
32,39.26139092254469,3,0.9574321951102243
33,29.93251387631033,1,0.6850793501277221
34,24.711445355220498,3,0.5077283082644337
35,34.11272456051594,2,0.9641592812938626
36,23.895781750144888,2,0.7140920741586572
37,31.044317975023777,0,0.9833274095218347
38,20.201649380601122,4,0.9818099885446264
39,23.359069755507846,3,0.92650472773368
40,30.984306179345616,1,0.6472244460347929
41,33.69233289997705,2,0.6925488643009626
42,30.85684140594985,0,0.9255683357584285
43,29.421758588058797,0,0.6584610025781388
44,28.494481522053555,3,0.5847463733430462
45,22.607390048162863,2,0.7784006312291751
46,26.400778958026457,4,0.9680773870803905
47,27.696806145201062,2,0.8480148983374864
48,35.285611131094576,3,0.7850305850446825
49,31.71809144784231,3,0.5485882468853842
50,21.18479922318633,2,0.8075036133495849
51,31.620419846973974,3,0.9950269250521316
52,28.074588597918417,2,0.570042007618262
53,26.615389998470206,1,0.7591648261818684
54,33.058381444204336,2,0.9386865359639778
55,35.154997612479754,2,0.8703843088771022
56,34.65640059558099,3,0.848507870497634
57,25.803912383886807,3,0.8512420419935547
58,28.453938120743928,0,0.6797455756098776
59,31.65631715701782,0,0.6467959221322467
60,34.877725635611796,1,0.9046805777392568
61,27.60412881077355,0,0.9050566973395904
62,29.071705116680914,2,0.9335361592900518
63,24.46832512996986,3,0.9566202762782356
64,24.018966879596647,0,0.7556711994304689
65,34.06262911197099,0,0.7507581473435998
66,36.78120014285412,1,0.8991475894833876
67,29.63994939209833,1,0.8249819653888826
68,35.01766448946012,2,0.8509834386288517
69,31.80818012523817,3,0.8978963347180505
70,26.77440122697438,1,0.9450026709087831
71,31.80697802754207,0,0.6689975784257679
72,37.690182832329846,3,0.687791476319972
73,29.820869804450243,3,0.5469909699204345
74,37.82321827907003,0,0.789140070498087
75,16.901274479551276,1,0.517971136898371
76,34.10951252187612,0,0.7327990090662301
77,30.435235341190857,3,0.7713223173537883
78,28.504963247670663,4,0.6432706260641422
79,30.45880388267751,4,0.7954166302845054
80,20.062155426995538,2,0.5152501249695247
81,28.90164056081244,0,0.5186740943746072
82,31.78556285755873,0,0.9113002803298291
83,37.38947022370758,2,0.6800953207056315
84,27.40864890863176,2,0.5635302563259423
85,25.95753198553406,2,0.7611216300274022
86,27.491214782077318,3,0.8849967765493054
87,34.57701058851037,0,0.6079105137484215
88,31.643755548298422,3,0.8114452379095001
89,27.351198981164806,2,0.542673732496884
90,32.56633716556678,0,0.5258408605843039
91,30.4853877467402,3,0.7656773157840739
92,34.84322495266444,3,0.7703175608050532
93,26.489734530613237,2,0.8187149507491033
94,28.361689267011158,0,0.8630456668613308
95,28.039459234339212,2,0.9879260397312672
96,22.682425259339407,0,0.7581501741505976
97,31.48060138532288,4,0.661478236470623
98,31.305276360899448,1,0.8975930973843518
99,30.025567283212304,1,0.6354161256310371
100,28.827064333124266,1,0.719485710352818
